ubigeo,departamento,distrito,promedio_semanal,mediana_semanal,maximo_semanal,desviacion_semanal,pct_semanas_alta,crecimiento_promedio,frecuencia_semanas_con_casos,semana_pico,cluster,pca_1,pca_2
10101,AMAZONAS,CHACHAPOYAS,0.01447876447876448,0.0,2,0.1272777741337225,0.012548262548262547,0.007085346215780999,0.013513513513513514,20.0,1,-1.2323634940120127,-0.2572091806686731
10103,AMAZONAS,BALSAS,0.7931034482758621,0.0,15,2.388371883452464,0.2413793103448276,0.1341278392150485,0.2413793103448276,52.0,1,-0.5402684025632368,0.3254162259510475
10201,AMAZONAS,BAGUA,4.314685314685315,1.0,93,9.184018434102953,0.2742812742812743,0.17647274234875635,0.5547785547785548,20.0,0,1.429059708753125,1.7102182536464507
10202,AMAZONAS,ARAMANGO,0.3935483870967742,0.0,14,1.2260441195742344,0.16451612903225807,0.08234295746402284,0.16451612903225807,44.0,1,-0.7943460028974236,0.1338607196911857
10203,AMAZONAS,COPALLIN,0.35993485342019543,0.0,21,1.2015559926917732,0.16938110749185667,0.07777753578487076,0.16938110749185667,3.0,1,-0.7719989880112352,0.1347036518434239
10204,AMAZONAS,EL PARCO,0.23123123123123124,0.0,12,0.9810953744255984,0.0970970970970971,0.06823615874217077,0.0980980980980981,21.0,1,-0.9713573083536892,-0.05102858930363729
10205,AMAZONAS,IMAZA,0.9641985353946297,0.0,44,3.3596980490701003,0.2115541090317331,0.07693916311650593,0.2115541090317331,3.0,1,-0.48736593804315537,0.1483635148470267
10206,AMAZONAS,LA PECA,0.5158924205378973,0.0,16,1.6812984701961375,0.1821515892420538,0.09718453790831211,0.18337408312958436,45.0,1,-0.7197314740088079,0.17254805610904347
10307,AMAZONAS,JAZAN,0.95625,0.0,11,1.6253725534473629,0.44375,0.1955176200459219,0.44375,1.0,1,-0.11061069693404799,0.9528573361231447
10401,AMAZONAS,NIEVA,1.4675446848541862,0.0,37,3.831914098116108,0.2558795860771402,0.10512160669653517,0.2558795860771402,9.0,1,-0.3328112927855826,0.27513428612181823
10402,AMAZONAS,EL CENEPA,0.14432989690721648,0.0,5,0.609033215989358,0.08247422680412371,0.06606217616580311,0.08762886597938144,9.0,1,-1.032521509365865,-0.05677946834915065
10403,AMAZONAS,RIO SANTIAGO,0.19170984455958548,0.0,11,0.9610013912651844,0.07081174438687392,0.05715430013182823,0.07167530224525043,44.0,1,-1.036899785438868,-0.12647546243279098
10701,AMAZONAS,BAGUA GRANDE,3.337984496124031,1.0,42,6.069790410522147,0.2589147286821705,0.18396805267310776,0.5713178294573643,8.0,0,1.1341100880777268,1.960588889204795
10702,AMAZONAS,CAJARURO,0.6596573208722741,0.0,15,1.7176630163426125,0.235202492211838,0.10944263798901367,0.235202492211838,53.0,1,-0.5904375211224727,0.32576418075169994
10703,AMAZONAS,CUMBA,0.28885400313971743,0.0,20,1.197099361520871,0.1357927786499215,0.07849548612798926,0.13657770800627944,20.0,1,-0.8547406211765293,0.04039442539946047
10704,AMAZONAS,EL MILAGRO,0.5148514851485149,0.0,11,1.3013546049506748,0.2223222322232223,0.0886128011128011,0.2223222322232223,24.0,1,-0.6580349821494758,0.3085437984400937
10705,AMAZONAS,JAMALCA,0.1196877710320902,0.0,6,0.48524015888342376,0.07718993928881179,0.0333994708994709,0.07805724197745013,48.0,1,-1.057932718993847,-0.08395424475867268
10706,AMAZONAS,LONYA GRANDE,0.14457831325301204,0.0,10,0.797862270419491,0.05249569707401033,0.03735978587399777,0.05335628227194492,32.0,1,-1.0900397641904374,-0.1741302660583439
10707,AMAZONAS,YAMON,0.025477707006369428,0.0,6,0.2446639339703034,0.01751592356687898,0.00933029785619427,0.018312101910828025,21.0,1,-1.2075168454658167,-0.2544549334068565
20801,ANCASH,CASMA,5.292445166531276,0.0,338,24.227306997228894,0.1868399675060926,0.07547169756181568,0.1876523151909017,13.0,0,1.3083493144075533,-1.1317887308105878
20802,ANCASH,BUENA VISTA ALTA,0.27768456375838924,0.0,20,1.5808964434552657,0.06208053691275168,0.027964521333909385,0.06291946308724833,9.0,1,-1.0055661504211237,-0.18832054857265074
20803,ANCASH,COMANDANTE NOEL,0.09749784296807593,0.0,25,0.9986974881182009,0.027610008628127698,0.018799148462360898,0.028472821397756688,8.0,1,-1.1087329473049343,-0.2841768977010712
